                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.8646,                 4.5626,                 2.1817,                      0,                      0,                      0,                      0,                 4.2037,                  13.43,                 3.3239,              0.0002748,              0.0002748,              0.0002748
                      2,                 2.6111,                 3.6674,                  1.892,                      0,                      0,                      0,                      0,                 5.0664,                 12.562,                 3.3697,             0.00054882,             0.00054882,             0.00054882
                      3,                 2.5797,                 3.4036,                 1.8794,                      0,                      0,                      0,                      0,                  2.709,                  21.75,                 1.5549,             0.00081918,             0.00081918,             0.00081918
                      4,                  2.543,                 3.2508,                 1.8783,                      0,                      0,                      0,                      0,                 5.4386,                 10.052,                  3.524,             0.00081651,             0.00081651,             0.00081651
                      5,                 2.5331,                 3.1042,                 1.8454,                      0,                      0,                      0,                      0,                 5.2786,                 7.5771,                 3.7723,             0.00081651,             0.00081651,             0.00081651
                      6,                 2.4683,                 2.9579,                 1.8427,                      0,                      0,                      0,                      0,                 3.2467,                 6.5703,                  1.859,             0.00081101,             0.00081101,             0.00081101
                      7,                 2.4802,                 2.8589,                 1.8205,                      0,                      0,                      0,                      0,                 6.1443,                 9.5991,                 5.4649,             0.00080551,             0.00080551,             0.00080551
                      8,                 2.4413,                 2.7921,                 1.8133,                      0,                      0,                      0,                      0,                  5.232,                  8.409,                 3.1572,             0.00080001,             0.00080001,             0.00080001
                      9,                 2.4244,                  2.715,                 1.8007,                      0,                      0,                      0,                      0,                  5.819,                 7.5064,                 4.4108,             0.00079452,             0.00079452,             0.00079452
                     10,                 2.3937,                 2.6271,                 1.7702,                      0,                      0,                      0,                      0,                 5.0396,                 7.6361,                 3.3553,             0.00078902,             0.00078902,             0.00078902
                     11,                 2.3754,                 2.6061,                 1.7695,                      0,                      0,                      0,                      0,                 4.3532,                 4.7773,                  3.996,             0.00078352,             0.00078352,             0.00078352
                     12,                 2.3618,                 2.5676,                 1.7709,                      0,                      0,                      0,                      0,                 2.5892,                 6.4648,                 1.6635,             0.00077802,             0.00077802,             0.00077802
                     13,                  2.341,                 2.5095,                 1.7381,                      0,                      0,                      0,                      0,                 5.1023,                 8.2086,                 3.2938,             0.00077252,             0.00077252,             0.00077252
                     14,                 2.3423,                 2.4956,                 1.7413,                      0,                      0,                      0,                      0,                 5.6943,                 8.1463,                 4.4404,             0.00076703,             0.00076703,             0.00076703
                     15,                 2.3282,                 2.4751,                   1.73,                      0,                      0,                      0,                      0,                  4.053,                 6.9844,                 2.3284,             0.00076153,             0.00076153,             0.00076153
                     16,                 2.3103,                 2.4059,                 1.7208,                      0,                      0,                      0,                      0,                 4.5004,                 7.5234,                 3.2916,             0.00075603,             0.00075603,             0.00075603
                     17,                 2.3147,                 2.3862,                 1.6997,                      0,                      0,                      0,                      0,                 2.9136,                 9.0024,                 2.1222,             0.00075053,             0.00075053,             0.00075053
                     18,                 2.2807,                 2.3367,                  1.704,                      0,                      0,                      0,                      0,                 3.8983,                 7.6328,                 2.1775,             0.00074504,             0.00074504,             0.00074504
                     19,                 2.2913,                 2.3633,                 1.6973,                      0,                      0,                      0,                      0,                 4.9231,                 8.2484,                 3.1814,             0.00073954,             0.00073954,             0.00073954
                     20,                  2.267,                 2.2849,                 1.6771,                      0,                      0,                      0,                      0,                 5.6383,                 14.916,                 4.3529,             0.00073404,             0.00073404,             0.00073404
                     21,                 2.2607,                 2.2531,                 1.6673,                      0,                      0,                      0,                      0,                 5.6876,                 9.2853,                 4.6116,             0.00072854,             0.00072854,             0.00072854
                     22,                 2.2562,                 2.2532,                 1.6738,                      0,                      0,                      0,                      0,                 2.4472,                 7.7148,                 1.4857,             0.00072304,             0.00072304,             0.00072304
                     23,                 2.2364,                 2.2303,                 1.6645,                      0,                      0,                      0,                      0,                 5.6321,                 10.433,                 3.8753,             0.00071755,             0.00071755,             0.00071755
                     24,                 2.2362,                 2.1924,                 1.6564,                      0,                      0,                      0,                      0,                 2.9268,                 15.539,                 2.1041,             0.00071205,             0.00071205,             0.00071205
                     25,                 2.2206,                 2.1597,                 1.6296,                      0,                      0,                      0,                      0,                 2.3885,                 9.0781,                 1.6874,             0.00070655,             0.00070655,             0.00070655
                     26,                 2.2224,                 2.1327,                 1.6308,                      0,                      0,                      0,                      0,                 5.2614,                 6.7079,                 3.6937,             0.00070105,             0.00070105,             0.00070105
                     27,                 2.1912,                 2.0998,                  1.613,                      0,                      0,                      0,                      0,                 1.8853,                 8.5312,                 1.6783,             0.00069556,             0.00069556,             0.00069556
                     28,                 2.1948,                 2.0814,                 1.6095,                      0,                      0,                      0,                      0,                 3.8087,                  7.283,                 2.3118,             0.00069006,             0.00069006,             0.00069006
                     29,                  2.172,                 2.0732,                 1.5929,                      0,                      0,                      0,                      0,                 2.4895,                 6.6562,                 1.9018,             0.00068456,             0.00068456,             0.00068456
                     30,                 2.1706,                 2.0554,                 1.6006,                      0,                      0,                      0,                      0,                 3.7912,                 11.789,                 2.2936,             0.00067906,             0.00067906,             0.00067906
                     31,                 2.1529,                 2.0599,                 1.5877,                      0,                      0,                      0,                      0,                  4.795,                 7.2369,                 2.7586,             0.00067356,             0.00067356,             0.00067356
                     32,                 2.1607,                 2.0117,                 1.5933,                      0,                      0,                      0,                      0,                  3.682,                 6.1367,                 2.0956,             0.00066807,             0.00066807,             0.00066807
                     33,                 2.1561,                 2.0082,                  1.583,                      0,                      0,                      0,                      0,                  4.113,                 8.5703,                 2.6929,             0.00066257,             0.00066257,             0.00066257
                     34,                 2.1284,                 1.9558,                 1.5614,                      0,                      0,                      0,                      0,                 4.8318,                 12.219,                 2.8575,             0.00065707,             0.00065707,             0.00065707
                     35,                 2.1169,                 1.9512,                 1.5692,                      0,                      0,                      0,                      0,                 3.1254,                 6.5571,                 2.1156,             0.00065157,             0.00065157,             0.00065157
