                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     38,                 1.7876,                 1.3327,                 1.4411,                      0,                      0,                      0,                      0,                 3.4892,                 6.9584,                 2.4295,             0.00063508,             0.00063508,             0.00063508
                     39,                 1.7867,                 1.3002,                  1.422,                      0,                      0,                      0,                      0,                 2.7716,                 6.1875,                  2.142,             0.00062958,             0.00062958,             0.00062958
                     40,                 1.7636,                 1.2813,                  1.416,                      0,                      0,                      0,                      0,                 3.9711,                 6.7289,                  2.463,             0.00062408,             0.00062408,             0.00062408
                     41,                 1.7514,                 1.2645,                 1.4065,                      0,                      0,                      0,                      0,                 4.4272,                 6.8614,                 2.4855,             0.00061859,             0.00061859,             0.00061859
                     42,                 1.7165,                 1.2176,                 1.3903,                      0,                      0,                      0,                      0,                 3.9968,                 6.2266,                 2.4185,             0.00061309,             0.00061309,             0.00061309
                     43,                  1.694,                 1.1952,                 1.3805,                      0,                      0,                      0,                      0,                 4.8913,                 7.8427,                 2.9634,             0.00060759,             0.00060759,             0.00060759
                     44,                 1.6808,                 1.1796,                 1.3652,                      0,                      0,                      0,                      0,                 3.5576,                 4.8516,                 2.0705,             0.00060209,             0.00060209,             0.00060209
                     45,                 1.6756,                  1.165,                 1.3504,                      0,                      0,                      0,                      0,                 2.0107,                 7.2656,                 2.2532,             0.00059659,             0.00059659,             0.00059659
                     46,                 1.6623,                 1.1508,                 1.3617,                      0,                      0,                      0,                      0,                 3.6569,                 7.2519,                 2.5168,              0.0005911,              0.0005911,              0.0005911
                     47,                 1.6195,                 1.1062,                 1.3178,                      0,                      0,                      0,                      0,                  3.726,                 5.9453,                 2.2841,              0.0005856,              0.0005856,              0.0005856
                     48,                 1.6441,                  1.125,                  1.338,                      0,                      0,                      0,                      0,                  3.743,                 5.5156,                 2.1734,              0.0005801,              0.0005801,              0.0005801
                     49,                 1.6337,                 1.1124,                 1.3295,                      0,                      0,                      0,                      0,                 3.7682,                 7.0827,                 2.3658,              0.0005746,              0.0005746,              0.0005746
                     50,                 1.6025,                 1.0809,                 1.3175,                      0,                      0,                      0,                      0,                  3.554,                 8.6427,                 2.4808,             0.00056911,             0.00056911,             0.00056911
                     51,                 1.5716,                 1.0456,                 1.3019,                      0,                      0,                      0,                      0,                 3.1295,                 6.6847,                 2.0875,             0.00056361,             0.00056361,             0.00056361
