                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                0.49556,                0.35765,                0.99111,                0.95526,                0.99448,                0.97874,                0.95084,                0.31227,                0.24566,                0.87286,                0.00307,                0.00307,                0.00307
                     38,                0.49205,                0.35928,                0.99108,                0.95436,                0.99448,                 0.9796,                0.95268,                0.31073,                 0.2439,                0.87191,               0.002872,               0.002872,               0.002872
                     39,                0.48354,                0.34224,                0.98762,                0.95386,                0.99455,                0.97906,                0.95201,                0.30884,                0.24216,                0.87119,               0.002674,               0.002674,               0.002674
                     40,                0.47693,                0.33643,                0.98099,                0.95367,                0.99471,                0.98156,                0.95721,                0.30659,                0.24115,                 0.8702,               0.002476,               0.002476,               0.002476
                     41,                0.37499,                0.24245,                0.88976,                0.95368,                0.99462,                0.97952,                0.94968,                0.30524,                0.24061,                 0.8694,               0.002278,               0.002278,               0.002278
                     42,                0.37276,                0.23722,                0.88519,                0.95393,                0.99471,                 0.9816,                0.95624,                 0.3034,                0.23912,                0.86861,                0.00208,                0.00208,                0.00208
                     43,                0.35461,                0.22175,                0.87336,                0.95417,                0.99469,                0.98268,                0.95208,                0.30066,                0.23677,                0.86721,               0.001882,               0.001882,               0.001882
                     44,                0.34937,                0.21608,                0.86645,                0.95418,                0.99471,                0.98388,                0.95737,                0.29802,                0.23582,                0.86599,               0.001684,               0.001684,               0.001684
                     45,                0.33944,                0.21021,                0.86646,                0.95776,                0.99448,                0.98436,                0.95978,                0.29658,                 0.2345,                0.86516,               0.001486,               0.001486,               0.001486
                     46,                 0.3325,                0.20115,                0.85573,                0.95832,                0.99448,                0.98076,                0.95694,                0.29516,                0.23373,                0.86408,               0.001288,               0.001288,               0.001288
                     47,                0.32461,                0.19415,                0.85531,                0.95864,                0.99448,                0.98031,                 0.9583,                0.29317,                0.23301,                0.86261,                0.00109,                0.00109,                0.00109
                     48,                0.31374,                0.18975,                0.84711,                0.95876,                0.99448,                0.98472,                0.96351,                0.29184,                0.23053,                0.86173,               0.000892,               0.000892,               0.000892
                     49,                0.30134,                 0.1778,                0.83593,                0.95842,                0.99448,                0.98682,                0.96802,                0.29056,                0.23296,                0.86097,               0.000694,               0.000694,               0.000694
                     50,                0.29555,                0.16436,                 0.8445,                0.95891,                0.99448,                0.98688,                0.96594,                0.28853,                0.22915,                0.85985,               0.000496,               0.000496,               0.000496
